name,type,class,tea,num,time,site
HTML网页设计,理科类,2,程文亮,50,"17-18周,星期1, 10-12节 2-16周,星期1, 10-11节 ", (电脑8室(实A505))(电脑8室(实A505))
HTML网页设计,理科类,3,程文亮,50,"17-18周,星期3, 10-12节 2-16周,星期3, 10-11节 ", (电脑8室(实A505))(电脑8室(实A505))
汉语方言与文化,文科类,1,黄伟亮,160,"17-18周,星期2, 10-12节 2-16周,星期2, 10-11节 ", (主楼301)(主楼301)
汉语方言与文化,文科类,2,黄伟亮,160,"17-18周,星期3, 10-12节 2-16周,星期3, 10-11节 ", (主楼301)(主楼301)
趣味机器人,理科类,1,谭伟超,165,"17-18周,星期3, 10-12节 2-16周,星期3, 10-11节 ", (主楼201)(主楼201)
趣味机器人,理科类,2,谭伟超,165,"17-18周,星期4, 10-12节 2-16周,星期4, 10-11节 ", (主楼201)(主楼201)
职业素质训练之求职面试技巧,其他类,1,邹花花,160,"17-18周,星期1, 10-12节 2-16周,星期1, 10-11节 ", (主楼203)(主楼203)
高效能的七项修练,其他类,1,张美莹,160,"17-18周,星期2, 10-12节 2-16周,星期2, 10-11节 ", (主楼302)(主楼302)
商业礼仪训练,其他类,1,谭喜庆,60,"17-18周,星期2, 10-12节 2-16周,星期2, 10-11节 ", (主楼214)(主楼214)
商业礼仪训练,其他类,2,谭喜庆,60,"17-18周,星期4, 10-12节 2-16周,星期4, 10-11节 ", (主楼214)(主楼214)
职场社交舞蹈(华尔兹),其他类,1,谭喜庆,100,"17-18周,星期3, 10-12节 2-16周,星期3, 10-11节 ", (舞蹈2室(实B310))(舞蹈2室(实B310))
英语习语与文化,文科类,1,王送军,150,"17-18周,星期1, 10-12节 2-16周,星期1, 10-11节 ", (主楼303)(主楼303)
职场英语口语,文科类,1,谭琳,80,"17-18周,星期2, 7-9节 2-16周,星期2, 7-8节 ", (主楼107)(主楼107)
影视剧本创作与赏析,艺术类,1,数码人2,180,"17-18周,星期3, 10-12节 2-16周,星期3, 10-11节 ", (阶梯B311室)(阶梯B311室)
生活中的经济学,其他类,1,曹俊勇,160,"17-18周,星期5, 10-12节 2-16周,星期5, 10-11节 ", (主楼302)(主楼302)
中国旅游文化,文科类,1,李远航,160,"17-18周,星期1, 10-12节 2-16周,星期1, 10-11节 ", (主楼102)(主楼102)
化妆品辨识,其他类,1,冯丽丹,160,"17-18周,星期2, 10-12节 2-16周,星期2, 10-11节 ", (主楼217)(主楼217)
英语电影赏析,文科类,1,王琳琳,160,"17-18周,星期4, 7-9节 2-16周,星期4, 7-8节 ", (主楼303)(主楼303)
毒物探秘,其他类,1,杨月莹,160,"17-18周,星期1, 7-9节 2-16周,星期1, 7-8节 ", (主楼217)(主楼217)
美容与化妆品学,艺术类,1,彭飞飞,160,"17-18周,星期4, 10-12节 2-16周,星期4, 10-11节 ", (主楼313)(主楼313)
中西方服装研究,艺术类,1,谭金杏,160,"17-18周,星期5, 10-12节 2-16周,星期5, 10-11节 ", (主楼203)(主楼203)
食品卫生与营养,其他类,1,谢爱玲,160,"17-18周,星期5, 10-12节 2-16周,星期5, 10-11节 ", (主楼317)(主楼317)
神奇的机械世界,理科类,1,陈俊武,100,"17-18周,星期4, 10-12节 2-16周,星期4, 10-11节 ", (主楼303)(主楼303)
潮汕美食文化与生活,其他类,1,倪晓添,150,"17-18周,星期4, 10-12节 2-16周,星期4, 10-11节 ", (主楼316)(主楼316)
潮汕美食文化与生活,其他类,2,倪晓添,150,"17-18周,星期5, 7-9节 2-16周,星期5, 7-8节 ", (主楼202)(主楼202)
名侦探柯南的化学探秘,其他类,1,谢爱玲,180,"17-18周,星期4, 7-9节 2-16周,星期4, 7-8节 ", (主楼316)(主楼316)
网页制作基础,理科类,1,梁嘉亮,50,"2-13周,星期4, 10-12节 ", (电脑2室(实A402))
,,,合计：,17482,,
